,mae,mape,mse,rmse,order,diff,summary
AAPL,"0,3773107351","0,2494868979","0,3633190918","0,6027595639","(5, 0, 1)",3,"                               SARIMAX Results                                
==============================================================================
Dep. Variable:                      y   No. Observations:                 1082
Model:               SARIMAX(5, 0, 1)   Log Likelihood               -2390.446
Date:                Tue, 23 May 2023   AIC                           4796.893
Time:                        01:03:27   BIC                           4836.785
Sample:                             0   HQIC                          4811.997
                               - 1082                                         
Covariance Type:                  opg                                         
==============================================================================
                 coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------
intercept      0.1980      0.118      1.682      0.093      -0.033       0.429
ar.L1          0.0177      0.072      0.248      0.804      -0.123       0.158
ar.L2          0.6303      0.054     11.693      0.000       0.525       0.736
ar.L3         -0.4736      0.023    -20.852      0.000      -0.518      -0.429
ar.L4         -0.1109      0.035     -3.195      0.001      -0.179      -0.043
ar.L5          0.3318      0.024     13.869      0.000       0.285       0.379
ma.L1          0.7464      0.075      9.999      0.000       0.600       0.893
sigma2         4.8523      0.127     38.246      0.000       4.604       5.101
===================================================================================
Ljung-Box (L1) (Q):                   6.03   Jarque-Bera (JB):               675.28
Prob(Q):                              0.01   Prob(JB):                         0.00
Heteroskedasticity (H):               9.19   Skew:                             0.01
Prob(H) (two-sided):                  0.00   Kurtosis:                         6.87
===================================================================================

Warnings:
[1] Covariance matrix calculated using the outer product of gradients (complex-step)."
MSFT,"0,6062257173","0,2324547742","0,9909421493","0,9954607723","(5, 0, 1)",3,"                               SARIMAX Results                                
==============================================================================
Dep. Variable:                      y   No. Observations:                 1082
Model:               SARIMAX(5, 0, 1)   Log Likelihood               -3002.044
Date:                Tue, 23 May 2023   AIC                           6020.089
Time:                        01:04:16   BIC                           6059.981
Sample:                             0   HQIC                          6035.193
                               - 1082                                         
Covariance Type:                  opg                                         
==============================================================================
                 coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------
intercept      0.3475      0.207      1.679      0.093      -0.058       0.753
ar.L1         -0.0466      0.049     -0.946      0.344      -0.143       0.050
ar.L2          0.6565      0.031     21.301      0.000       0.596       0.717
ar.L3         -0.3981      0.025    -15.694      0.000      -0.448      -0.348
ar.L4         -0.1935      0.025     -7.736      0.000      -0.242      -0.144
ar.L5          0.3203      0.020     15.708      0.000       0.280       0.360
ma.L1          0.7057      0.050     14.205      0.000       0.608       0.803
sigma2        15.0288      0.406     37.058      0.000      14.234      15.824
===================================================================================
Ljung-Box (L1) (Q):                   5.31   Jarque-Bera (JB):               499.07
Prob(Q):                              0.02   Prob(JB):                         0.00
Heteroskedasticity (H):               7.44   Skew:                            -0.35
Prob(H) (two-sided):                  0.00   Kurtosis:                         6.25
===================================================================================

Warnings:
[1] Covariance matrix calculated using the outer product of gradients (complex-step)."
AMZN,"0,09088665878","0,06618089693","0,6564381767","0,8102087241","(5, 0, 1)",3,"                               SARIMAX Results                                
==============================================================================
Dep. Variable:                      y   No. Observations:                 1082
Model:               SARIMAX(5, 0, 1)   Log Likelihood               -2688.396
Date:                Tue, 23 May 2023   AIC                           5390.793
Time:                        01:04:44   BIC                           5425.699
Sample:                             0   HQIC                          5404.009
                               - 1082                                         
Covariance Type:                  opg                                         
==============================================================================
                 coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------
ar.L1          1.1951      0.142      8.399      0.000       0.916       1.474
ar.L2         -0.3359      0.116     -2.892      0.004      -0.564      -0.108
ar.L3         -0.5389      0.030    -18.245      0.000      -0.597      -0.481
ar.L4          0.6556      0.077      8.547      0.000       0.505       0.806
ar.L5         -0.2618      0.049     -5.363      0.000      -0.358      -0.166
ma.L1         -0.3561      0.144     -2.476      0.013      -0.638      -0.074
sigma2         8.4152      0.229     36.778      0.000       7.967       8.864
===================================================================================
Ljung-Box (L1) (Q):                   0.25   Jarque-Bera (JB):               457.65
Prob(Q):                              0.62   Prob(JB):                         0.00
Heteroskedasticity (H):               2.91   Skew:                             0.10
Prob(H) (two-sided):                  0.00   Kurtosis:                         6.18
===================================================================================

Warnings:
[1] Covariance matrix calculated using the outer product of gradients (complex-step)."
TSLA,"0,8796943514","0,4315543926","0,8314761936","0,9118531645","(0, 0, 2)",3,"                               SARIMAX Results                                
==============================================================================
Dep. Variable:                      y   No. Observations:                 1082
Model:               SARIMAX(0, 0, 2)   Log Likelihood               -3533.009
Date:                Tue, 23 May 2023   AIC                           7074.017
Time:                        01:05:01   BIC                           7093.963
Sample:                             0   HQIC                          7081.569
                               - 1082                                         
Covariance Type:                  opg                                         
==============================================================================
                 coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------
intercept      0.8628      0.574      1.504      0.132      -0.261       1.987
ma.L1          0.9926      0.005    206.727      0.000       0.983       1.002
ma.L2          0.9679      0.005    185.878      0.000       0.958       0.978
sigma2        39.9353      0.703     56.774      0.000      38.557      41.314
===================================================================================
Ljung-Box (L1) (Q):                   0.07   Jarque-Bera (JB):              5358.07
Prob(Q):                              0.79   Prob(JB):                         0.00
Heteroskedasticity (H):             172.76   Skew:                             0.32
Prob(H) (two-sided):                  0.00   Kurtosis:                        13.88
===================================================================================

Warnings:
[1] Covariance matrix calculated using the outer product of gradients (complex-step)."
GOOGL,"0,08427581712","0,07049420726","0,4199832112","0,6480611169","(5, 0, 1)",3,"                               SARIMAX Results                                
==============================================================================
Dep. Variable:                      y   No. Observations:                 1082
Model:               SARIMAX(5, 0, 1)   Log Likelihood               -2173.773
Date:                Tue, 23 May 2023   AIC                           4361.546
Time:                        01:05:24   BIC                           4396.452
Sample:                             0   HQIC                          4374.762
                               - 1082                                         
Covariance Type:                  opg                                         
==============================================================================
                 coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------
ar.L1          0.0305      0.081      0.376      0.707      -0.128       0.189
ar.L2          0.6369      0.059     10.713      0.000       0.520       0.753
ar.L3         -0.4737      0.022    -21.740      0.000      -0.516      -0.431
ar.L4         -0.1396      0.039     -3.596      0.000      -0.216      -0.064
ar.L5          0.3067      0.025     12.071      0.000       0.257       0.357
ma.L1          0.7211      0.083      8.685      0.000       0.558       0.884
sigma2         3.2510      0.080     40.651      0.000       3.094       3.408
===================================================================================
Ljung-Box (L1) (Q):                   4.85   Jarque-Bera (JB):               849.74
Prob(Q):                              0.03   Prob(JB):                         0.00
Heteroskedasticity (H):               4.70   Skew:                             0.01
Prob(H) (two-sided):                  0.00   Kurtosis:                         7.34
===================================================================================

Warnings:
[1] Covariance matrix calculated using the outer product of gradients (complex-step)."
GOOG,"0,08908095877","0,07423603422","0,4585301703","0,6771485585","(5, 0, 1)",3,"                               SARIMAX Results                                
==============================================================================
Dep. Variable:                      y   No. Observations:                 1082
Model:               SARIMAX(5, 0, 1)   Log Likelihood               -2169.845
Date:                Tue, 23 May 2023   AIC                           4353.691
Time:                        01:05:44   BIC                           4388.597
Sample:                             0   HQIC                          4366.907
                               - 1082                                         
Covariance Type:                  opg                                         
==============================================================================
                 coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------
ar.L1          0.0420      0.083      0.508      0.611      -0.120       0.204
ar.L2          0.6394      0.061     10.513      0.000       0.520       0.759
ar.L3         -0.4853      0.022    -22.241      0.000      -0.528      -0.443
ar.L4         -0.1367      0.040     -3.400      0.001      -0.216      -0.058
ar.L5          0.3117      0.026     11.893      0.000       0.260       0.363
ma.L1          0.7150      0.084      8.467      0.000       0.549       0.881
sigma2         3.2274      0.080     40.514      0.000       3.071       3.383
===================================================================================
Ljung-Box (L1) (Q):                   5.11   Jarque-Bera (JB):               825.40
Prob(Q):                              0.02   Prob(JB):                         0.00
Heteroskedasticity (H):               4.71   Skew:                            -0.02
Prob(H) (two-sided):                  0.00   Kurtosis:                         7.28
===================================================================================

Warnings:
[1] Covariance matrix calculated using the outer product of gradients (complex-step)."
NVDA,"0,1006558453","0,05290944909","0,4583645784","0,677026276","(5, 0, 0)",2,"                               SARIMAX Results                                
==============================================================================
Dep. Variable:                      y   No. Observations:                 1083
Model:               SARIMAX(5, 0, 0)   Log Likelihood               -3212.453
Date:                Tue, 23 May 2023   AIC                           6436.907
Time:                        01:05:55   BIC                           6466.832
Sample:                             0   HQIC                          6448.236
                               - 1083                                         
Covariance Type:                  opg                                         
==============================================================================
                 coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------
ar.L1          0.7628      0.017     43.779      0.000       0.729       0.797
ar.L2         -0.6515      0.018    -36.422      0.000      -0.687      -0.616
ar.L3          0.5217      0.021     25.090      0.000       0.481       0.562
ar.L4         -0.3633      0.018    -20.007      0.000      -0.399      -0.328
ar.L5          0.2953      0.014     21.091      0.000       0.268       0.323
sigma2        22.0545      0.421     52.448      0.000      21.230      22.879
===================================================================================
Ljung-Box (L1) (Q):                   1.07   Jarque-Bera (JB):              3125.79
Prob(Q):                              0.30   Prob(JB):                         0.00
Heteroskedasticity (H):              20.31   Skew:                             0.40
Prob(H) (two-sided):                  0.00   Kurtosis:                        11.28
===================================================================================

Warnings:
[1] Covariance matrix calculated using the outer product of gradients (complex-step)."
META,"0,07368911383","0,03951136978","0,9133441064","0,9556903821","(3, 0, 2)",3,"                               SARIMAX Results                                
==============================================================================
Dep. Variable:                      y   No. Observations:                 1082
Model:               SARIMAX(3, 0, 2)   Log Likelihood               -3436.530
Date:                Tue, 23 May 2023   AIC                           6885.060
Time:                        01:06:32   BIC                           6914.980
Sample:                             0   HQIC                          6896.388
                               - 1082                                         
Covariance Type:                  opg                                         
==============================================================================
                 coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------
ar.L1         -0.0326      0.032     -1.022      0.307      -0.095       0.030
ar.L2          0.0236      0.024      0.971      0.332      -0.024       0.071
ar.L3         -0.0719      0.026     -2.775      0.006      -0.123      -0.021
ma.L1          0.9834      0.006    154.901      0.000       0.971       0.996
ma.L2          0.9757      0.008    124.039      0.000       0.960       0.991
sigma2        33.3825      0.438     76.164      0.000      32.523      34.242
===================================================================================
Ljung-Box (L1) (Q):                   0.01   Jarque-Bera (JB):             93451.49
Prob(Q):                              0.94   Prob(JB):                         0.00
Heteroskedasticity (H):               3.34   Skew:                            -3.22
Prob(H) (two-sided):                  0.00   Kurtosis:                        48.07
===================================================================================

Warnings:
[1] Covariance matrix calculated using the outer product of gradients (complex-step)."
UNH,"0,6384040786","0,1260185273","1,239577277","1,113363048","(5, 0, 0)",2,"                               SARIMAX Results                                
==============================================================================
Dep. Variable:                      y   No. Observations:                 1083
Model:               SARIMAX(5, 0, 0)   Log Likelihood               -3438.187
Date:                Tue, 23 May 2023   AIC                           6890.375
Time:                        01:07:00   BIC                           6925.287
Sample:                             0   HQIC                          6903.592
                               - 1083                                         
Covariance Type:                  opg                                         
==============================================================================
                 coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------
intercept      0.3310      0.179      1.852      0.064      -0.019       0.681
ar.L1          0.7542      0.019     39.453      0.000       0.717       0.792
ar.L2         -0.4990      0.022    -22.181      0.000      -0.543      -0.455
ar.L3          0.2948      0.025     11.987      0.000       0.247       0.343
ar.L4         -0.1824      0.025     -7.394      0.000      -0.231      -0.134
ar.L5          0.0564      0.020      2.876      0.004       0.018       0.095
sigma2        33.4768      0.866     38.656      0.000      31.779      35.174
===================================================================================
Ljung-Box (L1) (Q):                   0.06   Jarque-Bera (JB):              1448.15
Prob(Q):                              0.81   Prob(JB):                         0.00
Heteroskedasticity (H):               2.28   Skew:                            -0.21
Prob(H) (two-sided):                  0.00   Kurtosis:                         8.65
===================================================================================

Warnings:
[1] Covariance matrix calculated using the outer product of gradients (complex-step)."
